Date of Incident,Count of Incident
14-Feb-18,17
15-Feb-18,3
16-Feb-18,2
17-Feb-18,6
18-Feb-18,4
19-Feb-18,1
20-Feb-18,4
21-Feb-18,2
22-Feb-18,5
23-Feb-18,2
24-Feb-18,3
25-Feb-18,4
28-Feb-18,4
1-Mar-18,6
2-Mar-18,5
3-Mar-18,3
4-Mar-18,2
5-Mar-18,2
6-Mar-18,1
7-Mar-18,5
8-Mar-18,3
9-Mar-18,1
10-Mar-18,3
11-Mar-18,2
12-Mar-18,5
13-Mar-18,2
14-Mar-18,3
16-Mar-18,2
17-Mar-18,2
18-Mar-18,1
19-Mar-18,1
20-Mar-18,3
21-Mar-18,4
22-Mar-18,1
23-Mar-18,1
24-Mar-18,4
25-Mar-18,5
26-Mar-18,2
28-Mar-18,4
29-Mar-18,3
30-Mar-18,3
31-Mar-18,5
1-Apr-18,4
2-Apr-18,3
4-Apr-18,1
6-Apr-18,1
7-Apr-18,4
8-Apr-18,8
9-Apr-18,2
10-Apr-18,1
11-Apr-18,1
12-Apr-18,3
14-Apr-18,4
15-Apr-18,11
16-Apr-18,3
17-Apr-18,2
18-Apr-18,2
20-Apr-18,2
21-Apr-18,2
22-Apr-18,4
23-Apr-18,6
24-Apr-18,6
25-Apr-18,2
26-Apr-18,1
27-Apr-18,3
29-Apr-18,2
30-Apr-18,2
1-May-18,1
2-May-18,5
3-May-18,3
4-May-18,1
5-May-18,4
6-May-18,3
7-May-18,1
8-May-18,5
9-May-18,5
10-May-18,4
11-May-18,3
12-May-18,5
13-May-18,6
14-May-18,3
15-May-18,1
16-May-18,7
18-May-18,10
19-May-18,3
20-May-18,4
21-May-18,1
22-May-18,5
23-May-18,1
24-May-18,2
25-May-18,2
26-May-18,6
27-May-18,2
28-May-18,5
29-May-18,6
30-May-18,4
31-May-18,6
1-Jun-18,1
2-Jun-18,4
3-Jun-18,3
4-Jun-18,4
5-Jun-18,7
6-Jun-18,4
7-Jun-18,1
8-Jun-18,4
9-Jun-18,4
10-Jun-18,6
11-Jun-18,11
12-Jun-18,7
13-Jun-18,2
14-Jun-18,6
15-Jun-18,3
16-Jun-18,4
17-Jun-18,3
18-Jun-18,4
19-Jun-18,4
20-Jun-18,4
21-Jun-18,5
22-Jun-18,3
23-Jun-18,3
24-Jun-18,2
25-Jun-18,3
26-Jun-18,5
27-Jun-18,3
29-Jun-18,1
30-Jun-18,5
1-Jul-18,3
2-Jul-18,4
3-Jul-18,5
4-Jul-18,3
5-Jul-18,8
6-Jul-18,1
7-Jul-18,4
8-Jul-18,8
9-Jul-18,5
10-Jul-18,1
11-Jul-18,2
12-Jul-18,4
13-Jul-18,9
14-Jul-18,3
15-Jul-18,8
16-Jul-18,3
17-Jul-18,5
18-Jul-18,2
19-Jul-18,2
20-Jul-18,3
21-Jul-18,1
22-Jul-18,7
23-Jul-18,3
24-Jul-18,4
